confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
213	1	1	1	1	0.7189096347291355	0.7282888153458307	-32.67574573785137	N/A	84.60683996506611	C16H29N3O4	[M + H]+	NHXZRXLFOBFMDM	InChI=1S/C16H29N3O4/c1-9(2)8-11(16(22)23)18-14(20)12-6-5-7-19(12)15(21)13(17)10(3)4/h9-13H,5-8,17H2,1-4H3,(H,18,20)(H,22,23)	Diprotin B	CC(C)CC(C(=O)O)NC(=O)C1CCCN1C(=O)C(C(C)C)N	0.79422694	4311310;102565440;7408179;92177215;92470593;129360251;129360252;146208	PUBCHEMANNOTATIONBIO;PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0246079);MESH:(146208);PUBCHEM:(4311310 102565440 7408179 92177215 92470593 129360251 129360252 146208);TRAIN;COCONUT:(CNP0315235);CHEBI:(166345);LOTUS:(Q82892954);DSSTox:(DTXSID20920276);KNAPSACK:(NHXZRXLFOBFMDM-UHFFFAOYSA-N);PUBMED	137794437238	328.22338	76.98718010756298	729_mzmine_results_sirius_3301	3301
214	1	1	1	1	0.7188026391308813	0.9773488861746776	-99.82838189341705	N/A	55.494105018237256	C15H22N2O3	[M + H]+	KFKWRHQBZQICHA	InChI=1S/C15H22N2O3/c1-10(2)8-12(16)14(18)17-13(15(19)20)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)	2-(2-amino-4-methylpentanamido)-3-phenylpropanoic acid	CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	1.5570416	103868977;103869028;6992311;6992309;6992310;6992312;6992313;6992314;6992315;6992316;129635912;12940412;61156965;259325	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0013243 HMDB0302841);MiMeDB:(MMDBc0000658);BloodExposome:(259325 6992310);SUPERNATURAL:(SN0184192);MESH:(259325 6992310);PUBCHEM:(103868977 103869028 6992311 6992309 6992310 6992312 6992313 6992314 6992315 6992316 129635912 12940412 61156965 259325);FooDB:(FDB006480 FDB111642);GNPS:(CCMSLIB00003134995 CCMSLIB00003137982);TRAIN;COCONUT:(CNP0118564);CHEBI:(73585);LOTUS:(Q27141902);DSSTox:(DTXSID201044504 DTXSID301313172 DTXSID501036415 DTXSID60952899 DTXSID80426305);PUBCHEMANNOTATIONDRUG;PUBMED	139375693934	279.17041	115.00201607640645	1048_mzmine_results_sirius_4829	4829
215	1	1	1	1	0.7179174877265724	0.7179174877265724	-67.53030608298208	N/A	75.8237312234717	C11H20N2O5	[M + H]+	YBAFDPFAUTYYRW	InChI=1S/C11H20N2O5/c1-6(2)5-8(11(17)18)13-10(16)7(12)3-4-9(14)15/h6-8H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18)	2-(2-amino-4-carboxybutanamido)-4-methylpentanoic acid	CC(C)CC(C(=O)O)NC(=O)C(CCC(=O)O)N	-0.4572975	64887981;64888761;9856500;124433150;91974018;79001418;122173491	COCONUT:(CNP0128313);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028823);CHEBI:(73506);SUPERNATURAL:(SN0445471);PUBCHEM:(64887981 64888761 9856500 124433150 91974018 79001418 122173491);FooDB:(FDB111867);LOTUS:(Q27140586);DSSTox:(DTXSID201315070);PUBMED	138264182890	261.14467	45.39633684240951	302_mzmine_results_sirius_1509	1509
216	1	1	1	1	0.7173039627273786	0.9548054672915226	-63.50259605755722	N/A	60.99860696600091	C15H22N2O4	[M + H]+	QJKMCQRFHJRIPU	InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)		CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N	1.1342741	103869075;103869078;103869472;7019109;7019110;14282475;133126518;104904954;104904955;61158847;61174505	COCONUT:(CNP0463620);HMDB:(HMDB0029108);BloodExposome:(7019110);CHEBI:(74993);SUPERNATURAL:(SN0307101);PUBCHEM:(103869075 103869078 103869472 7019109 7019110 14282475 133126518 104904954 104904955 61158847 61174505);FooDB:(FDB112112);GNPS:(CCMSLIB00003136787);LOTUS:(Q27145058);PUBMED	812650602	295.16535	63.21563691139221	528_mzmine_results_sirius_2488	2488
217	1	1	1	1	0.7164872646564755	0.7164872646564755	-86.34861288580755	N/A	73.04909578168488	C13H13NO2	[M + H]+	PKQZAEYCNGXOPC	InChI=1S/C13H13NO2/c1-2-3-8-16-12-9-13(15)14-11-7-5-4-6-10(11)12/h2,4-7,9H,1,3,8H2,(H,14,15)	4-(But-3-enyl)oxyquinolone	C=CCCOC1=CC(=O)NC2=CC=CC=C21	2.1	12552570	MESH:(12552570);PUBCHEM:(12552570);PUBMED	70	216.10151	120.71308973583429	1120_mzmine_results_sirius_5168	5168
218	1	1	1	1	0.715443368456942	0.715443368456942	-135.48471992543193	N/A	15.107299292819118	C11H22N2O3	[M + Na]+	MDSUKZSLOATHMH	InChI=1S/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)	2-(2-amino-4-methylpentanamido)-3-methylbutanoic acid	CC(C)CC(C(=O)NC(C(C)C)C(=O)O)N	0.62046796	103868893;6993115;6993116;129635900;6427009;148549452;61157156;61172247;36689033;36689034;36689035;36689036;79009905;352038;18640546	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028942);BloodExposome:(6993116 352038);SUPERNATURAL:(SN0222848);PUBCHEM:(103868893 6993115 6993116 129635900 6427009 148549452 61157156 61172247 36689033 36689034 36689035 36689036 79009905 352038 18640546);FooDB:(FDB111965);GNPS:(CCMSLIB00003137144);COCONUT:(CNP0233149);METACYC:(CPD-20385);CHEBI:(73579 177272);LOTUS:(Q27141751);DSSTox:(DTXSID20653193 DTXSID80929169);PUBCHEMANNOTATIONDRUG;PUBMED	138301937770	253.15232	61.99194702148438	510_mzmine_results_sirius_2428	2428
219	1	1	1	1	0.7152939856687214	0.8365067613663134	-173.48508668566149	N/A	26.088280504138133	C15H22N2O3	[M + Na]+	KFKWRHQBZQICHA	InChI=1S/C15H22N2O3/c1-10(2)8-12(16)14(18)17-13(15(19)20)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)	2-(2-amino-4-methylpentanamido)-3-phenylpropanoic acid	CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	1.5570416	103868977;103869028;6992311;6992309;6992310;6992312;6992313;6992314;6992315;6992316;129635912;12940412;61156965;259325	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0013243 HMDB0302841);MiMeDB:(MMDBc0000658);BloodExposome:(259325 6992310);SUPERNATURAL:(SN0184192);MESH:(259325 6992310);PUBCHEM:(103868977 103869028 6992311 6992309 6992310 6992312 6992313 6992314 6992315 6992316 129635912 12940412 61156965 259325);FooDB:(FDB006480 FDB111642);GNPS:(CCMSLIB00003134995 CCMSLIB00003137982);TRAIN;COCONUT:(CNP0118564);CHEBI:(73585);LOTUS:(Q27141902);DSSTox:(DTXSID201044504 DTXSID301313172 DTXSID501036415 DTXSID60952899 DTXSID80426305);PUBCHEMANNOTATIONDRUG;PUBMED	139375693934	301.15237	114.9955951732397	1062_mzmine_results_sirius_4890	4890
220	1	1	1	1	0.714431049268457	0.8474067821379446	-161.35795826790815	N/A	22.176766805122753	C15H22N2O3	[M + Na]+	KFKWRHQBZQICHA	InChI=1S/C15H22N2O3/c1-10(2)8-12(16)14(18)17-13(15(19)20)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)	2-(2-amino-4-methylpentanamido)-3-phenylpropanoic acid	CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	1.5570416	103868977;103869028;6992311;6992309;6992310;6992312;6992313;6992314;6992315;6992316;129635912;12940412;61156965;259325	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0013243 HMDB0302841);MiMeDB:(MMDBc0000658);BloodExposome:(259325 6992310);SUPERNATURAL:(SN0184192);MESH:(259325 6992310);PUBCHEM:(103868977 103869028 6992311 6992309 6992310 6992312 6992313 6992314 6992315 6992316 129635912 12940412 61156965 259325);FooDB:(FDB006480 FDB111642);GNPS:(CCMSLIB00003134995 CCMSLIB00003137982);TRAIN;COCONUT:(CNP0118564);CHEBI:(73585);LOTUS:(Q27141902);DSSTox:(DTXSID201044504 DTXSID301313172 DTXSID501036415 DTXSID60952899 DTXSID80426305);PUBCHEMANNOTATIONDRUG;PUBMED	139375693934	301.15125	119.89001828134059	1106_mzmine_results_sirius_5122	5122
221	1	1	1	1	0.7138572217427782	0.7138572217427782	-416.9694080215921	N/A	76.81416084802082	C24H29N5O4	[M + H3N + H]+	GOOILMWHDZVVPX	InChI=1S/C24H29N5O4/c1-15(2)10-20(29-22(31)17-12-25-14-26-13-17)23(32)28-19(11-16-6-4-3-5-7-16)21(30)24(33)27-18-8-9-18/h3-7,12-15,18-20H,8-11H2,1-2H3,(H,27,33)(H,28,32)(H,29,31)	N-[(2S)-1-[[4-(cyclopropylamino)-3,4-dioxo-1-phenylbutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]pyrimidine-5-carboxamide	CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)C(=O)NC2CC2)NC(=O)C3=CN=CN=C3	2.3	138469986;138469989	PUBCHEM:(138469986 138469989)	2	469.25663	88.03812500000001	827_mzmine_results_sirius_3767	3767
222	1	1	1	1	0.7117543336486488	0.7117543336486488	-92.69757825200297	N/A	62.32431985301774	C18H23NO2	[M + H]+	LOUOCBKBIWBTTR	InChI=1S/C18H23NO2/c1-2-3-4-5-6-7-8-11-15-14-18(20)16-12-9-10-13-17(16)19(15)21/h8-14,21H,2-7H2,1H3	(E)-1-Hydroxy-2-(Non-1-En-1-Yl)Quinolin-4-One	CCCCCCCC=CC1=CC(=O)C2=CC=CC=C2N1O	5.4	85960509;129626647	SUPERNATURAL:(SN0211369);COCONUT:(CNP0081756);PUBCHEM:(85960509 129626647);CHEBI:(137441)	3145762	286.1809	224.4409718572905	1602_mzmine_results_sirius_6314	6314
223	1	1	1	1	0.7116961029270816	0.9760933513992929	-89.66737880142871	N/A	46.78197880713928	C18H20N2O4	[M + H]+	CGWAPUBOXJWXMS	InChI=1S/C18H20N2O4/c19-15(10-13-6-8-14(21)9-7-13)17(22)20-16(18(23)24)11-12-4-2-1-3-5-12/h1-9,15-16,21H,10-11,19H2,(H,20,22)(H,23,24)	2-[2-amino-3-(4-hydroxyphenyl)propanamido]-3-phenylpropanoic acid	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)N	1.621602	9996594;5255823;7009599;7009600;40520327;40520329;40520331;3421919;44369253	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029112);BloodExposome:(3421919);SUPERNATURAL:(SN0045415);PUBCHEM:(9996594 5255823 7009599 7009600 40520327 40520329 40520331 3421919 44369253);FooDB:(FDB112115);GNPS:(CCMSLIB00003138775);COCONUT:(CNP0315754);CHEBI:(75005);DSSTox:(DTXSID70828430 DTXSID90392345);PUBCHEMANNOTATIONDRUG;PUBMED	138033500266	329.15015	95.86920177042484	903_mzmine_results_sirius_4101	4101
224	1	1	1	1	0.7101452960004908	0.7101452960004908	-191.94951523907446	N/A	79.04842697995716	C11H15NO4	[M + H3N + H]+	LXBURZIESWDWIV	InChI=1S/C11H15NO4/c1-7(2)6-8(11(14)15)12-10(13)9-4-3-5-16-9/h3-5,7-8H,6H2,1-2H3,(H,12,13)(H,14,15)	N-(2-Furoyl)leucine	CC(C)CC(C(=O)O)NC(=O)C1=CC=CO1	1.9	4086809;6941736;40516803;774282;774283;2882178	NORMAN:(NS00068255);PUBCHEMANNOTATIONBIO;PUBCHEM:(4086809 6941736 40516803 774282 774283 2882178);DSSTox:(DTXSID601309116);PUBMED	137455992898	243.1342	62.58916015625	517_mzmine_results_sirius_2455	2455
225	1	1	1	1	0.7100511742822396	0.7100511742822396	-229.490703561461	N/A	67.18851639770297	C12H13NO4	[M + H3N + H]+	LMKGVUJKILHRCE	InChI=1S/C12H13NO4/c1-2-17-12(16)13-10(11(14)15)8-9-6-4-3-5-7-9/h2-7,10H,1,8H2,(H,13,16)(H,14,15)	2-(Ethenoxycarbonylamino)-3-phenylpropanoic acid	C=COC(=O)NC(CC1=CC=CC=C1)C(=O)O	1.9312229	6452065;92161700;269992	NORMAN:(NS00031638);PUBCHEM:(6452065 92161700 269992);DSSTox:(DTXSID20196954)	137439215618	253.11849	58.337392578125	472_mzmine_results_sirius_2233	2233
226	1	1	1	1	0.7083427757078788	0.7083427757078788	-119.65534476148039	N/A	14.970801426669256	C20H27NO2	[M + H]+	RXWKCQWMDSAQBS	InChI=1S/C20H27NO2/c1-2-3-4-5-6-7-8-9-10-13-17-16-20(22)18-14-11-12-15-19(18)21(17)23/h7-8,11-12,14-16,23H,2-6,9-10,13H2,1H3	1-Hydroxy-2-undec-4-enylquinolin-4-one	CCCCCCC=CCCCC1=CC(=O)C2=CC=CC=C2N1O	5.8	163187276;162652454	SUPERNATURAL:(SN0217677);PUBCHEM:(163187276 162652454);LOTUS:(Q105158664 Q104171408);PUBMED	269484098	314.21251	211.70375	1527_mzmine_results_sirius_6148	6148
227	1	1	1	1	0.7059963881553266	0.7059963881553266	-446.86053501953967	N/A	164.8908160696986	C33H61NO13	[M + H]+	BQYXOXSZEDKUMN	InChI=1S/C33H61NO13/c1-12-23-33(9,40)28(36)19(3)25(34-44-17-43-14-13-41-10)18(2)15-31(7,39)27(35)20(4)26(21(5)30(38)46-23)47-24-16-32(8,42-11)29(37)22(6)45-24/h18-24,26-29,35-37,39-40H,12-17H2,1-11H3	9-Deoxo-9-[(2-methoxyethoxy)methoxyimino]-3-O-(3-O,3-C-dimethyl-2,6-dideoxy-alpha-L-ribo-hexopyranosyl)erythronolide A	CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)O)(C)O)C)C)O)(C)O	2.2941	102491357	PUBCHEM:(102491357)	2	680.42197	296.19625	1813_mzmine_results_sirius_6765	6765
228	1	1	1	1	0.6980207359296248	0.6980207359296248	-67.2967013973396	N/A	130.54672230483712	C10H18N2O5	[M + H]+	ZVDPYSVOZFINEE	InChI=1S/C10H18N2O5/c1-5(2)3-7(10(16)17)12-9(15)6(11)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)	2-(2-amino-3-carboxypropanamido)-4-methylpentanoic acid	CC(C)CC(C(=O)O)NC(=O)C(CC(=O)O)N	-0.90654325	64895749;86306124;86306125;86306126;86306127;86306128;86306129;6992366;6992367;146079307;79001424;332962	HMDB:(HMDB0028757);BloodExposome:(332962);SUPERNATURAL:(SN0481101);PUBCHEM:(64895749 86306124 86306125 86306126 86306127 86306128 86306129 6992366 6992367 146079307 79001424 332962);FooDB:(FDB111811);GNPS:(CCMSLIB00003137753);TRAIN;COCONUT:(CNP0346655);METACYC:(CPD-20372);CHEBI:(68596);LOTUS:(Q27137034);DSSTox:(DTXSID90318540)	138251622442	247.12867	53.05771726608276	392_mzmine_results_sirius_1902	1902
229	1	1	1	1	0.6970004183586418	0.6970004183586418	-95.40371232230449	N/A	75.55760609381474	C20H27NO2	[M + H]+	RXWKCQWMDSAQBS	InChI=1S/C20H27NO2/c1-2-3-4-5-6-7-8-9-10-13-17-16-20(22)18-14-11-12-15-19(18)21(17)23/h7-8,11-12,14-16,23H,2-6,9-10,13H2,1H3	1-Hydroxy-2-undec-4-enylquinolin-4-one	CCCCCCC=CCCCC1=CC(=O)C2=CC=CC=C2N1O	5.8	163187276;162652454	SUPERNATURAL:(SN0217677);PUBCHEM:(163187276 162652454);LOTUS:(Q105158664 Q104171408);PUBMED	269484098	314.21109	254.26673659534174	1702_mzmine_results_sirius_6538	6538
230	1	1	1	1	0.6929995442486097	0.8495777155129915	-163.09332153402306	N/A	61.766927156582796	C11H20N2O3	[M + H]+	OCYROESYHWUPBP	InChI=1S/C11H20N2O3/c1-3-7(2)9(11(15)16)13-10(14)8-5-4-6-12-8/h7-9,12H,3-6H2,1-2H3,(H,13,14)(H,15,16)	3-methyl-2-[(pyrrolidin-2-yl)formamido]pentanoic acid	CCC(C)C(C(=O)O)NC(=O)C1CCCN1	0.82703465	103869473;16397737;7079600;7079601;92174300;133126585;104901042;61159030;61173136;61174501;104014;3764656	COCONUT:(CNP0218391);HMDB:(HMDB0304810);METACYC:(CPD-20356);CHEBI:(74790);SUPERNATURAL:(SN0262042);MESH:(104014 7079601);PUBCHEM:(103869473 16397737 7079600 7079601 92174300 133126585 104901042 61159030 61173136 61174501 104014 3764656);FooDB:(FDB098399);GNPS:(CCMSLIB00003135124 CCMSLIB00003136156);DSSTox:(DTXSID20874265 DTXSID50966248);PUBMED	137978976366	229.15497	85.2275	798_mzmine_results_sirius_3617	3617
231	1	1	1	1	0.6900738010862488	0.6900738010862488	-82.67701882288615	N/A	154.44566300993358	C20H38O5	[M + H]+	ZFPAFAWFRTWCSK	InChI=1S/C20H38O5/c1-3-5-7-9-11-13-17(21)15-20(24)25-18(16-19(22)23)14-12-10-8-6-4-2/h17-18,21H,3-16H2,1-2H3,(H,22,23)	3-[(3-hydroxydecanoyl)oxy]decanoic acid	CCCCCCCC(CC(=O)OC(CCCCCCC)CC(=O)O)O	5.8	52921680;52921681;131801218;71367693	COCONUT:(CNP0406766);MiMeDB:(MMDBc0017961);CHEBI:(62406 62239 139110 139104);SUPERNATURAL:(SN0469070);LIPIDMAPS:(LMFA07090123);PUBCHEM:(52921680 52921681 131801218 71367693);LOTUS:(Q27131854);DSSTox:(DTXSID70790805);TRAIN;PUBCHEMANNOTATIONDRUG;PUBMED	140965331042	359.27845	311.4752854020808	1837_mzmine_results_sirius_6825	6825
232	1	1	1	1	0.6877027374178432	0.6877027374178432	-96.22391975408178	N/A	73.75602672071052	C20H29N3O4	[M + H]+	XXXXOVFBXRERQL	InChI=1S/C20H29N3O4/c1-13(2)11-15(21)19(25)23-10-6-9-17(23)18(24)22-16(20(26)27)12-14-7-4-3-5-8-14/h3-5,7-8,13,15-17H,6,9-12,21H2,1-2H3,(H,22,24)(H,26,27)	2-[[1-(2-Amino-4-methylpentanoyl)pyrrolidine-2-carbonyl]amino]-3-phenylpropanoic acid	CC(C)CC(C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	1.7308006	25183214;18222232	PUBCHEM:(25183214 18222232);CHEBI:(159469)	34	376.22364	108.43592841047797	1005_mzmine_results_sirius_4601	4601
233	1	1	1	1	0.6873528926235414	0.7214509527359131	-85.14359370894151	N/A	73.69247169442134	C12H25N3O3	[M + H]+	FMIIKPHLJKUXGE	InChI=1S/C12H25N3O3/c1-3-8(2)10(12(17)18)15-11(16)9(14)6-4-5-7-13/h8-10H,3-7,13-14H2,1-2H3,(H,15,16)(H,17,18)		CCC(C)C(C(=O)O)NC(=O)C(CCCCN)N	-0.23644668	94334236;135319416;7010498;7010499;18218225	COCONUT:(CNP0444740);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028954);BloodExposome:(7010499);CHEBI:(74559);SUPERNATURAL:(SN0089527);PUBCHEM:(94334236 135319416 7010498 7010499 18218225);FooDB:(FDB111977);GNPS:(CCMSLIB00003137550 CCMSLIB00003138419);DSSTox:(DTXSID60426661);PUBMED	137999945834	260.19715	24.118848909723184	79_mzmine_results_sirius_357	357
234	1	1	1	1	0.6867793307746269	0.8686805058416252	-122.420849056805	N/A	78.00646761800526	C9H11NO3	[M + H]+	OUYCCCASQSFEME	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	L-Tyr	C1=CC(=CC=C1CC(C(=O)O)N)O	0.267646	101207897;101397207;101397208;101473587;4300518;102601143;102601262;102602318;67616738;136695003;136901282;6919035;6942100;163322697;87528069;87206347;16057302;16121128;16121129;16213418;16213445;16213583;16217563;5460819;5460804;5460805;5460807;5460811;5460812;5460814;5460820;5460822;51038299;51038519;118264389;118404240;129691772;129718953;129827297;22525020;22525021;22525022;102122882;102134361;124202800;124202884;102176480;102352865;102352866;102352868;102352869;102352870;102445951;102467108;162642142;162642143;136235592;135889919;66995444;145705697;145705698;56613523;56615578;56846617;10035292;25033054;10081061;10176393;25240685;25240941;25241510;25241511;10261774;10285839;10419891;46198802;46198803;46200025;46200026;46200027;46200028;46200029;46200030;46200031;46200178;46200179;46200180;46200181;46200182;46200183;46200184;46200325;46200326;46200327;46200328;46200329;46200486;90695549;151393448;153693979;153694842;153697361;153713630;153713771;54170871;54170875;131708673;121232915;121232916;131869542;138986902;24209846;24209847;153284758;11344427;10513366;10657063;1153;6057;71098;134618;450407;450408;450409;450610;46932123;91056413;3741725;12144755;12209698;12209699;12209700;12209703;12209704;12209705;12209706;12209707;12209714;12209715;12209716;12209717;12209718;12209719;12209720;12209722;12209728;12209731;11819702;18761740;90471999;90472602;71308851;2724449	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(6057);GNPS:(CCMSLIB00003139994 CCMSLIB00003134543);METACYC:(D-TYROSINE SMA-0000164 SMA-0000202);CHEBI:(32773 58570 32760 32784 192085 32775 28479 58315 32786 17895 32785 32774 32762 18186 53696 32761);KEGG:(C01536 C06420 C00082);LOTUS:(Q188017 Q16082044 Q27102882);DSSTox:(DTXSID00437458 DTXSID1023730 DTXSID10473726 DTXSID10480571 DTXSID10993136 DTXSID201310713 DTXSID20478520 DTXSID20952072 DTXSID30480573 DTXSID30583957 DTXSID30584444 DTXSID30890037 DTXSID40480569 DTXSID50153676 DTXSID50480570 DTXSID50859040 DTXSID50883441 DTXSID70439560 DTXSID70480572 DTXSID70583936 DTXSID80437754 DTXSID80584050 DTXSID90480574);PUBCHEMANNOTATIONDRUG;KNAPSACK:(OUYCCCASQSFEME-UHFFFAOYSA-N);PUBCHEMANNOTATIONFOOD;PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000158 HMDB0250803);MiMeDB:(MMDBc0000047 MMDBc0030387);BloodExposome:(71098 1153 6057);HSDB:(60-18-4);SUPERNATURAL:(SN0275914);PUBCHEM:(101207897 101397207 101397208 101473587 4300518 102601143 102601262 102602318 67616738 136695003 136901282 6919035 6942100 163322697 87528069 87206347 16057302 16121128 16121129 16213418 16213445 16213583 16217563 5460819 5460804 5460805 5460807 5460811 5460812 5460814 5460820 5460822 51038299 51038519 118264389 118404240 129691772 129718953 129827297 22525020 22525021 22525022 102122882 102134361 124202800 124202884 102176480 102352865 102352866 102352868 102352869 102352870 102445951 102467108 162642142 162642143 136235592 135889919 66995444 145705697 145705698 56613523 56615578 56846617 10035292 25033054 10081061 10176393 25240685 25240941 25241510 25241511 10261774 10285839 10419891 46198802 46198803 46200025 46200026 46200027 46200028 46200029 46200030 46200031 46200178 46200179 46200180 46200181 46200182 46200183 46200184 46200325 46200326 46200327 46200328 46200329 46200486 90695549 151393448 153693979 153694842 153697361 153713630 153713771 54170871 54170875 131708673 121232915 121232916 131869542 138986902 24209846 24209847 153284758 11344427 10513366 10657063 1153 6057 71098 134618 450407 450408 450409 450610 46932123 91056413 3741725 12144755 12209698 12209699 12209700 12209703 12209704 12209705 12209706 12209707 12209714 12209715 12209716 12209717 12209718 12209719 12209720 12209722 12209728 12209731 11819702 18761740 90471999 90472602 71308851 2724449);FooDB:(FDB000446);NORMAN:(NS00001880 NS00080446 NS00080506);COCONUT:(CNP0116237);PLANTCYC:(TYR);YMDB:(YMDB00805 YMDB00364);PUBMED	139577465726	182.08151	37.87514678955078	214_mzmine_results_sirius_1077	1077
235	1	1	1	1	0.6853392726681669	0.9184754809857921	-71.62572850038335	N/A	34.77887821373883	C8H16N2O3	[M + H]+	DKEXFJVMVGETOO	InChI=1S/C8H16N2O3/c1-5(2)3-6(8(12)13)10-7(11)4-9/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)	Glycylleucine	CC(C)CC(C(=O)O)NC(=O)CN	-2.3	129691734;152756453;1548899;1715076;1715077;92843;102468;44369321	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000759);MiMeDB:(MMDBc0000150);BloodExposome:(92843 102468);SUPERNATURAL:(SN0067973);MESH:(92843 102468);PUBCHEM:(129691734 152756453 1548899 1715076 1715077 92843 102468 44369321);FooDB:(FDB022228);GNPS:(CCMSLIB00003139171 CCMSLIB00003135511);NORMAN:(NS00014842);COCONUT:(CNP0387937);METACYC:(CPD-12312);CHEBI:(73514 143163);KEGG:(C02155);LOTUS:(Q27140595);DSSTox:(DTXSID001017042 DTXSID601017040 DTXSID60862449);PUBCHEMANNOTATIONDRUG;PUBMED	139375941998	189.12328	48.84606384277344	350_mzmine_results_sirius_1743	1743
236	1	1	1	1	0.685130156529716	0.685130156529716	-337.0020097519613	N/A	80.13179561878248	C14H22N2O4	[M + H3N + H]+	HQZFLUDDTUKUGM	InChI=1S/C14H22N2O4/c1-9(17)16-8-7-11(12(16)14(19)20-2)15-13(18)10-5-3-4-6-10/h10-12H,3-8H2,1-2H3,(H,15,18)		CC(=O)N1CCC(C1C(=O)OC)NC(=O)C2CCCC2	1.3	73148456;11941855	SUPERNATURAL:(SN0133050);COCONUT:(CNP0448538);PUBCHEM:(73148456 11941855)	3145730	300.19153	67.11500000000001	575_mzmine_results_sirius_2689	2689
237	1	1	1	1	0.6824162908750067	0.6824162908750067	-44.63781800068938	N/A	68.07888078068825	C18H27N3O6	[M + H]+	BPGDJSUFQKWUBK	InChI=1S/C18H27N3O6/c1-9(2)15(21-16(24)14(19)10(3)22)17(25)20-13(18(26)27)8-11-4-6-12(23)7-5-11/h4-7,9-10,13-15,22-23H,8,19H2,1-3H3,(H,20,25)(H,21,24)(H,26,27)	2-[[2-[(2-Amino-3-hydroxybutanoyl)amino]-3-methylbutanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid	CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)C(C(C)O)N	-0.06538404	10068402;18224554	PUBCHEM:(10068402 18224554);CHEBI:(164394)	34	382.19748	56.06564806461334	431_mzmine_results_sirius_2050	2050
238	1	1	1	1	0.6824128048973378	0.8610295447581318	-44.916595166189545	N/A	44.29966987704498	C9H18N2O4	[M + H]+	TWVKGYNQQAUNRN	InChI=1S/C9H18N2O4/c1-3-5(2)7(10)8(13)11-6(4-12)9(14)15/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)		CCC(C)C(C(=O)NC(CO)C(=O)O)N	-0.9999409	7021815;7021816;14426033;14426034;61158102;61161908;61174639;80749481;80749655;80751282	HMDB:(HMDB0028916);BloodExposome:(14426033);SUPERNATURAL:(SN0362173);PUBCHEM:(7021815 7021816 14426033 14426034 61158102 61161908 61174639 80749481 80749655 80751282);FooDB:(FDB111944);GNPS:(CCMSLIB00003138298);COCONUT:(CNP0468461);METACYC:(CPD-20378);CHEBI:(74078);LOTUS:(Q27144391);DSSTox:(DTXSID90427404);PUBMED	138251606122	219.13315	30.299999999999997	152_mzmine_results_sirius_736	736
