structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	featureId
1	1	0.9912715280393305	0.9912715280393305	-6.592687955696959	nul	67.440	C13H18N2O5	[M + H]+	C13H19N2O5+	WCRFXRIWBFRZBR	InChI=1S/C13H18N2O5/c1-7(16)11(14)12(18)15-10(13(19)20)6-8-2-4-9(17)5-3-8/h2-5,7,10-11,16-17H,6,14H2,1H3,(H,15,18)(H,19,20)	Thr-Tyr	CC(C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N)O	-0.483	14839904;67935238;11778518	HMDB:(HMDB0029073);CHEBI:(73667 169281);SUPERNATURAL:(SN0406734);PUBCHEM:(14839904 67935238 11778518);FooDB:(FDB112079);LOTUS:(Q27143838);TRAIN	806371370	283.129	36	567749714024789992	567749465805869418	1166
1	1	0.5334397785303638	0.5334397785303638	-255.4970161050414	nul	11.301	C14H18N2O4	[M + Na]+	C14H18N2NaO4+	OIDKVWTWGDWMHY	InChI=1S/C14H18N2O4/c17-10-5-3-9(4-6-10)8-12(14(19)20)16-13(18)11-2-1-7-15-11/h3-6,11-12,15,17H,1-2,7-8H2,(H,16,18)(H,19,20)		C1CC(NC1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.892	103870734;103870774;22395834;7408108;6426998;56846481;515715;61160205;152264;71419916;44369194	COCONUT:(CNP0460083);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029029);METACYC:(CPD-23021);CHEBI:(74799);SUPERNATURAL:(SN0266045);MESH:(152264 7408108);PUBCHEM:(103870734 103870774 22395834 7408108 6426998 56846481 515715 61160205 152264 71419916 44369194);FooDB:(FDB112037);DSSTox:(DTXSID30173493 DTXSID60839131);PUBMED	146585684078	301.116	39	567749734040009249	567749465831035246	1172
1	1	0.48909554416947704	0.48909554416947704	-172.76321874832496	nul	118.376	C9H14N2O3	[M + H]+	C9H15N2O3+	UBLWFFBGMBRBMC	InChI=1S/C9H14N2O3/c1-5(12)7-9(14)11-4-2-3-6(11)8(13)10-7/h5-7,12H,2-4H2,1H3,(H,10,13)	Cyclo(Pro-Thr)	CC(C1C(=O)N2CCCC2C(=O)N1)O	-0.300	77106305;99645913;73146465;131155637;11937742	NORMAN:(NS00097171);COCONUT:(CNP0086706);CHEBI:(181655);SUPERNATURAL:(SN0365904);PUBCHEM:(77106305 99645913 73146465 131155637 11937742);GNPS:(CCMSLIB00000854345);LOTUS:(Q105269475);PUBMED	271847522	199.108	40	567749730755869159	567749465872978290	1188
1	1	0.20619036846885377	0.2402692989552723	-90.54715106040885	nul	70.465	C15H29N3O5	[M + H]+	C15H30N3O5+	QESXLSQLQHHTIX	InChI=1S/C15H29N3O5/c1-7(2)6-10(16)13(20)17-11(8(3)4)14(21)18-12(9(5)19)15(22)23/h7-12,19H,6,16H2,1-5H3,(H,17,20)(H,18,21)(H,22,23)	2-[[2-[(2-Amino-4-methylpentanoyl)amino]-3-methylbutanoyl]amino]-3-hydroxybutanoic acid	CC(C)CC(C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)O)N	-0.130	18222323;71407900	PUBCHEM:(18222323 71407900);CHEBI:(159657)	34	332.218	40	567749735881308756	567749465914921334	1191
1	2	0.42451073606603607	0.5100940287634722	-149.87972098682536	nul	70.754	C12H22N4O5	[M + Na]+	C12H22N4NaO5+	HYQYLOSCICEYTR	InChI=1S/C12H22N4O5/c1-6(2)3-8(12(20)21)16-10(18)5-15-11(19)7(13)4-9(14)17/h6-8H,3-5,13H2,1-2H3,(H2,14,17)(H,15,19)(H,16,18)(H,20,21)	2-[[2-[(2,4-Diamino-4-oxobutanoyl)amino]acetyl]amino]-4-methylpentanoic acid	CC(C)CC(C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)N	-4.100	145454118;18219116	PUBCHEM:(145454118 18219116);CHEBI:(159774)	34	325.151	40	567749740864142064	567749465956864378	1195
1	1	0.21003848281456242	0.21003848281456242	-286.7281867211731	nul	61.879	C11H21N5O2	[M + H]+	C11H22N5O2+	KGNZKBCSMDXYAZ	InChI=1S/C11H21N5O2/c12-11(13)15-6-2-1-5-14-10(18)9-4-3-7-16(9)8-17/h8-9H,1-7H2,(H,14,18)(H4,12,13,15)	N-{4-[(diaminomethylidene)amino]butyl}-1-formylpyrrolidine-2-carboxamide	C1CC(N(C1)C=O)C(=O)NCCCCN=C(N)N	-1.200	163047942;89041035	SUPERNATURAL:(SN0185055);COCONUT:(CNP0330595);PUBCHEM:(163047942 89041035)	3145730	256.177	40	567749730386770377	567749465998807422	1196
1	1	0.926786788880743	0.926786788880743	-92.53829571355476	nul	79.913	C10H18N2O3	[M + H]+	C10H19N2O3+	GIAZPLMMQOERPN	InChI=1S/C10H18N2O3/c1-6(2)8(11)9(13)12-5-3-4-7(12)10(14)15/h6-8H,3-5,11H2,1-2H3,(H,14,15)		CC(C)C(C(=O)N1CCCC1C(=O)O)N	-0.072	9837272;5003412;53839468;7408334;7408335;40520347;40520349;12919066;78923219;79012637;11902930;44369145	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029135);BloodExposome:(5003412);SUPERNATURAL:(SN0106309);PUBCHEM:(9837272 5003412 53839468 7408334 7408335 40520347 40520349 12919066 78923219 79012637 11902930 44369145);FooDB:(FDB098235);GNPS:(CCMSLIB00003134913 CCMSLIB00003136560);NORMAN:(NS00014986);COCONUT:(CNP0446200);CHEBI:(173611 73701);LOTUS:(Q27143865);DSSTox:(DTXSID30909830);PUBMED	138268651626	215.139	40	567749726788057401	567749466040750466	1203
1	1	0.9743414805349936	0.9743414805349936	-97.70239330861682	nul	84.717	C12H18N4O2	[M + H]+	C12H19N4O2+	QYFSHTYKVAOVJM	InChI=1S/C12H18N4O2/c1-7(2)3-9-11(17)16-10(12(18)15-9)4-8-5-13-6-14-8/h5-7,9-10H,3-4H2,1-2H3,(H,13,14)(H,15,18)(H,16,17)	Cis-Cyclo-(His,Leu)	CC(C)CC1C(=O)NC(C(=O)N1)CC2=CN=CN2	0.600	101013136;14132660;6453155;44566905	COCONUT:(CNP0125082);MiMeDB:(MMDBc0018650);SUPERNATURAL:(SN0318380);MESH:(6453155);PUBCHEM:(101013136 14132660 6453155 44566905);LOTUS:(Q83077184);DSSTox:(DTXSID70203763);PUBMED	138784276550	251.150	39	567749732316150271	567749466082693510	1204
1	1	0.5250721816476343	0.5250721816476343	-41.90180016576788	nul	122.748	C14H25N3O7	[M + H]+	C14H26N3O7+	KPMIQCXJDVKWKO	InChI=1S/C14H25N3O7/c1-6(2)11(17-12(21)10(15)7(3)18)13(22)16-8(14(23)24)4-5-9(19)20/h6-8,10-11,18H,4-5,15H2,1-3H3,(H,16,22)(H,17,21)(H,19,20)(H,23,24)	2-[[2-[(2-Amino-3-hydroxybutanoyl)amino]-3-methylbutanoyl]amino]pentanedioic acid	CC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(C(C)O)N	-1.657	145458250;18224543	PUBCHEM:(145458250 18224543);CHEBI:(164370)	34	348.177	43	567749779778895091	567749466120442250	1205
1	1	0.7758137094537026	0.7758137094537026	-66.26956431909741	nul	51.501	C12H20N4O3	[M + H]+	C12H21N4O3+	MMFKFJORZBJVNF	InChI=1S/C12H20N4O3/c1-7(2)3-10(12(18)19)16-11(17)9(13)4-8-5-14-6-15-8/h5-7,9-10H,3-4,13H2,1-2H3,(H,14,15)(H,16,17)(H,18,19)		CC(C)CC(C(=O)O)NC(=O)C(CC1=CN=CN1)N	-2.200	6992010;28054378;28054380;40739820;189008;440549	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028889 HMDB0253179);BloodExposome:(189008 440549);SUPERNATURAL:(SN0229394);MESH:(189008);PUBCHEM:(6992010 28054378 28054380 40739820 189008 440549);FooDB:(FDB111918);GNPS:(CCMSLIB00003136317);COCONUT:(CNP0456933);METACYC:(CPD-21539);CHEBI:(174536 147392 5729);KEGG:(C05010);LOTUS:(Q27106873);DSSTox:(DTXSID50998847);PUBCHEMANNOTATIONDRUG;PUBMED	138301946222	269.161	39	567749727706610015	567749466153996686	1206
1	1	0.9891405337355854	0.9891405337355854	-18.98311936701337	nul	46.602	C13H18N2O4	[M + H]+	C13H19N2O4+	NYQBYASWHVRESG	InChI=1S/C13H18N2O4/c1-8(16)11(13(18)19)15-12(17)10(14)7-9-5-3-2-4-6-9/h2-6,8,10-11,16H,7,14H2,1H3,(H,15,17)(H,18,19)		CC(C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N)O	-0.060	145453498;10445608;78985462;104965178;104965280;61159534;18218233	COCONUT:(CNP0459484);HMDB:(HMDB0029005);CHEBI:(73636 173887);SUPERNATURAL:(SN0258710);PUBCHEM:(145453498 10445608 78985462 104965178 104965280 61159534 18218233);FooDB:(FDB112021);GNPS:(CCMSLIB00003135539);LOTUS:(Q27142890);TRAIN	808472618	267.134	40	567749730508405203	567749466187551122	1208
1	1	0.6467443831755838	0.6467443831755838	-118.04490915352585	nul	48.122	C15H25N3O6	[M + H]+	C15H26N3O6+	RYQUMYBMOJYYDK	InChI=1S/C15H25N3O6/c1-8(2)12(16)14(22)18-7-3-4-10(18)13(21)17-9(15(23)24)5-6-11(19)20/h8-10,12H,3-7,16H2,1-2H3,(H,17,21)(H,19,20)(H,23,24)	2-[[1-(2-Amino-3-methylbutanoyl)pyrrolidine-2-carbonyl]amino]pentanedioic acid	CC(C)C(C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)O)N	-0.733	145459024;18232484	PUBCHEM:(145459024 18232484);CHEBI:(166341)	34	344.182	40	567749735042447933	567749466216911254	1224
1	1	0.9907573550572346	0.9907573550572346	-110.99030277997983	nul	59.099	C14H18N2O4	[M + H]+	C14H19N2O4+	OIDKVWTWGDWMHY	InChI=1S/C14H18N2O4/c17-10-5-3-9(4-6-10)8-12(14(19)20)16-13(18)11-2-1-7-15-11/h3-6,11-12,15,17H,1-2,7-8H2,(H,16,18)(H,19,20)		C1CC(NC1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.892	103870734;103870774;22395834;7408108;6426998;56846481;515715;61160205;152264;71419916;44369194	COCONUT:(CNP0460083);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029029);METACYC:(CPD-23021);CHEBI:(74799);SUPERNATURAL:(SN0266045);MESH:(152264 7408108);PUBCHEM:(103870734 103870774 22395834 7408108 6426998 56846481 515715 61160205 152264 71419916 44369194);FooDB:(FDB112037);DSSTox:(DTXSID30173493 DTXSID60839131);PUBMED	146585684078	279.134	39	567749725395548451	567749466246271386	1227
1	1	0.0449981109637082	0.0449981109637082	-343.89369508157955	nul	47.914	C12H26N4O6	[M + H]+	C12H27N4O6+	SYJXFKPQNSDJLI	InChI=1S/C12H26N4O6/c13-2-5-8(18)9(19)6(16)12(21-5)22-11-4(15)1-3(14)7(17)10(11)20/h3-12,17-20H,1-2,13-16H2	Neamine	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)O)O)N	-5.400	95162739;95162740;95162741;95162742;101335531;124762331;124762332;124762333;124927778;58908294;9818591;9866809;9927166;9928755;20849278;53298562;94037954;94037955;135016661;162937390;162937391;162937392;94862120;94862121;70678629;70809315;73442405;71742781;71773510;121275105;131883848;68321693;59896084;72392;413349;12313151;12313153;71172384;44264626;44273410;73952102;44472181;44472182;44472183;44472184	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0255495);BloodExposome:(72392);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0358679);MESH:(72392);PUBCHEM:(95162739 95162740 95162741 95162742 101335531 124762331 124762332 124762333 124927778 58908294 9818591 9866809 9927166 9928755 20849278 53298562 94037954 94037955 135016661 162937390 162937391 162937392 94862120 94862121 70678629 70809315 73442405 71742781 71773510 121275105 131883848 68321693 59896084 72392 413349 12313151 12313153 71172384 44264626 44273410 73952102 44472181 44472182 44472183 44472184);NORMAN:(NS00011537 NS00100061);COCONUT:(CNP0207604);METACYC:(CPD-14137);CHEBI:(7489 65076);KEGG:(C01441);LOTUS:(Q6984256);DSSTox:(DTXSID7023358);PUBCHEMANNOTATIONDRUG;PUBMED	137832442222	323.191	39	567749730118334909	567749466279825822	1229
1	1	0.08073081522600638	0.08073081522600638	-506.76575494830604	nul	57.058	C35H41N5O8	[M + H]+	C35H42N5O8+	XQTVLKBKUIUZEC	InChI=1S/C35H41N5O8/c1-19(2)33(34(45)39-20(3)4)40-32(44)17-38-31(43)16-37-30(42)15-36-29(41)12-11-23-21(5)24-13-25-26(22-9-7-6-8-10-22)18-47-27(25)14-28(24)48-35(23)46/h6-10,13-14,18-20,33H,11-12,15-17H2,1-5H3,(H,36,41)(H,37,42)(H,38,43)(H,39,45)(H,40,44)	3-methyl-2-(2-{2-[2-(3-{5-methyl-7-oxo-3-phenyl-7H-furo[3,2-g]chromen-6-yl}propanamido)acetamido]acetamido}acetamido)-N-(propan-2-yl)butanamide	CC1=C(C(=O)OC2=CC3=C(C=C12)C(=CO3)C4=CC=CC=C4)CCC(=O)NCC(=O)NCC(=O)NCC(=O)NC(C(C)C)C(=O)NC(C)C	2.900	42648641;74836617	SUPERNATURAL:(SN0437507);COCONUT:(CNP0394837);PUBCHEM:(42648641 74836617)	3153922	660.303	40	567749898981016032	567749466313380258	1237
1	1	0.40938118579372235	0.5637981473028749	-67.81428591568991	nul	42.892	C9H18N2O4	[M + Na]+	C9H18N2NaO4+	TWVKGYNQQAUNRN	InChI=1S/C9H18N2O4/c1-3-5(2)7(10)8(13)11-6(4-12)9(14)15/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)		CCC(C)C(C(=O)NC(CO)C(=O)O)N	-1.000	7021815;7021816;14426033;14426034;61158102;61161908;61174639;80749481;80749655;80751282	COCONUT:(CNP0468461);HMDB:(HMDB0028916);METACYC:(CPD-20378);BloodExposome:(14426033);CHEBI:(74078);SUPERNATURAL:(SN0362173);PUBCHEM:(7021815 7021816 14426033 14426034 61158102 61161908 61174639 80749481 80749655 80751282);FooDB:(FDB111944);GNPS:(CCMSLIB00003138298);LOTUS:(Q27144391);DSSTox:(DTXSID90427404);PUBMED	146841540714	241.116	42	567749734459439663	567749466342740390	1247
1	1	0.7129501397340744	0.7129501397340744	-58.41268963347118	nul	97.542	C10H18N2O5	[M + H]+	C10H19N2O5+	UPJONISHZRADBH	InChI=1S/C10H18N2O5/c1-5(2)8(11)9(15)12-6(10(16)17)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)	2-(2-amino-3-methylbutanamido)pentanedioic acid	CC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)N	-0.907	5058636;7009622;7009623;40520340;40520338;40520342;61159819;61160307;79013162	COCONUT:(CNP0347264);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029126);METACYC:(CPD-20364);CHEBI:(75011);SUPERNATURAL:(SN0376571);PUBCHEM:(5058636 7009622 7009623 40520340 40520338 40520342 61159819 61160307 79013162);FooDB:(FDB112128);LOTUS:(Q27145070);DSSTox:(DTXSID30654479)	138264184874	247.129	41	567749736481094240	567749466376294826	1251
1	1	0.5268597095976462	0.5268597095976462	-70.20428262223109	nul	56.355	C11H21N3O5	[M + H]+	C11H22N3O5+	VGPCJSXPPOQPBK	InChI=1S/C11H21N3O5/c1-6(2)3-7(12)10(17)13-4-9(16)14-8(5-15)11(18)19/h6-8,15H,3-5,12H2,1-2H3,(H,13,17)(H,14,16)(H,18,19)	2-[[2-[(2-Amino-4-methylpentanoyl)amino]acetyl]amino]-3-hydroxypropanoic acid	CC(C)CC(C(=O)NCC(=O)NC(CO)C(=O)O)N	-3.600	18222112;11334850	PUBCHEM:(18222112 11334850);CHEBI:(138513)	34	276.155	40	567749742697052959	567749466409849262	1262
1	1	0.8169518054172095	0.8939831516060982	-60.2618607025258	nul	44.263	C8H16N2O3	[M + H]+	C8H17N2O3+	KGVHCTWYMPWEGN	InChI=1S/C8H16N2O3/c1-3-5(2)7(8(12)13)10-6(11)4-9/h5,7H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)	2-[(2-amino-1-hydroxyethylidene)amino]-3-methylpentanoic acid	CCC(C)C(C(=O)O)NC(=O)CN	-0.517	6992386;154228193;129640379;21116365;100968289;36688560;36688562;36688564;88079;259613	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028844);MiMeDB:(MMDBc0000467);BloodExposome:(88079);SUPERNATURAL:(SN0185265);PUBCHEM:(6992386 154228193 129640379 21116365 100968289 36688560 36688562 36688564 88079 259613);FooDB:(FDB098410);GNPS:(CCMSLIB00003137314);TRAIN;NORMAN:(NS00048453);COCONUT:(CNP0079824);METACYC:(CPD-20343);CHEBI:(73907);LOTUS:(Q27144233);DSSTox:(DTXSID90941211);PUBCHEMANNOTATIONDRUG;PUBMED	139375966314	189.123	41	567749744127310646	567749466447598002	1265
1	1	0.8280228762537191	0.8280228762537191	-48.48535126915353	nul	46.260	C15H25N3O4	[M + H]+	C15H26N3O4+	DOFAQXCYFQKSHT	InChI=1S/C15H25N3O4/c1-9(2)12(16)14(20)17-7-3-5-10(17)13(19)18-8-4-6-11(18)15(21)22/h9-12H,3-8,16H2,1-2H3,(H,21,22)	1-[1-(2-Amino-3-methylbutanoyl)pyrrolidine-2-carbonyl]pyrrolidine-2-carboxylic acid	CC(C)C(C(=O)N1CCCC1C(=O)N2CCCC2C(=O)O)N	0.101	9818200;53487033;124301951;133109161;60206518;18232492;11370352	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0253034);BloodExposome:(9818200);CHEBI:(73696);SUPERNATURAL:(SN0070956);MESH:(9818200);PUBCHEM:(9818200 53487033 124301951 133109161 60206518 18232492 11370352);FooDB:(FDB098402);LOTUS:(Q27143860);PUBCHEMANNOTATIONDRUG;PUBMED	860881006	312.191	41	567749743078734635	567749466485346742	1272
1	1	0.5581731471207899	0.5581731471207899	-60.37388942887934	nul	119.148	C17H27N5O4	[M + H]+	C17H28N5O4+	WRLPVDVHNWSSCL	InChI=1S/C17H27N5O4/c1-10(2)6-12(18)15(23)21-13(7-11-8-19-9-20-11)16(24)22-5-3-4-14(22)17(25)26/h8-10,12-14H,3-7,18H2,1-2H3,(H,19,20)(H,21,23)(H,25,26)	H-Leu-His-Pro-OH	CC(C)CC(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)O)N	0.005	101359179;145456435	PUBCHEM:(101359179 145456435);CHEBI:(159253)	34	366.213	42	567749779271384285	567749466523095482	1274
1	1	0.4965196288171962	0.4965196288171962	-86.40158201266452	nul	118.299	C18H25N3O8	[M + H]+	C18H26N3O8+	VHPVBPCCWVDGJL	InChI=1S/C18H25N3O8/c1-9(22)15(21-16(26)12(19)6-7-14(24)25)17(27)20-13(18(28)29)8-10-2-4-11(23)5-3-10/h2-5,9,12-13,15,22-23H,6-8,19H2,1H3,(H,20,27)(H,21,26)(H,24,25)(H,28,29)	H-DL-Glu-DL-xiThr-DL-Tyr-OH	CC(C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)C(CCC(=O)O)N)O	-1.143	23195559;91872927	PUBCHEM:(23195559 91872927);CHEBI:(163287)	34	412.171	45	567749757322591274	567749466560844222	1276
1	1	0.45511852799621755	0.45511852799621755	-73.97987625107689	nul	90.677	C16H32N4O5	[M + H]+	C16H33N4O5+	UUSQVWOVUYMLJA	InChI=1S/C16H32N4O5/c1-4-9(2)13(16(24)25)20-14(22)11(7-5-6-8-17)19-15(23)12(18)10(3)21/h9-13,21H,4-8,17-18H2,1-3H3,(H,19,23)(H,20,22)(H,24,25)	2-[[6-Amino-2-[(2-amino-3-hydroxybutanoyl)amino]hexanoyl]amino]-3-methylpentanoic acid	CCC(C)C(C(=O)O)NC(=O)C(CCCCN)NC(=O)C(C(C)O)N	-0.987	145458134;18224393	PUBCHEM:(145458134 18224393);CHEBI:(164065)	34	361.244	41	567749757196762143	567749466594398658	1280
1	1	0.5120552274214357	0.5184028303710636	-58.38954000064551	nul	62.904	C16H27N3O8	[M + H]+	C16H28N3O8+	IRXNJYPKBVERCW	InChI=1S/C16H27N3O8/c1-8(2)7-11(19-14(24)9(17)3-5-12(20)21)15(25)18-10(16(26)27)4-6-13(22)23/h8-11H,3-7,17H2,1-2H3,(H,18,25)(H,19,24)(H,20,21)(H,22,23)(H,26,27)	2-[[2-[(2-Amino-4-carboxybutanoyl)amino]-4-methylpentanoyl]amino]pentanedioic acid	CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CCC(=O)O)N	-1.118	145455422;18220321	PUBCHEM:(145455422 18220321);CHEBI:(163027)	34	390.187	41	567749748057373592	567749466632147398	1281
1	1	0.7999572087880825	0.9244380434396304	-137.80378026220032	nul	65.626	C12H16N2O4	[M + H]+	C12H17N2O4+	ALZVPLKYDKJKQU	InChI=1S/C12H16N2O4/c1-7(13)11(16)14-10(12(17)18)6-8-2-4-9(15)5-3-8/h2-5,7,10,15H,6,13H2,1H3,(H,14,16)(H,17,18)	2-(2-aminopropanamido)-3-(4-hydroxyphenyl)propanoic acid	CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N	0.006	103870743;101446379;4099800;112497283;40450973;7010480;16751656;572319;61160390;153824105;13017548;92946;54995855	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028699 HMDB0304776);BloodExposome:(572319 92946);SUPERNATURAL:(SN0009192);MESH:(92946);PUBCHEM:(103870743 101446379 4099800 112497283 40450973 7010480 16751656 572319 61160390 153824105 13017548 92946 54995855);FooDB:(FDB098190 FDB111756);NORMAN:(NS00014785);COCONUT:(CNP0315197);CHEBI:(73395 174328);LOTUS:(Q27140488);DSSTox:(DTXSID00184677);PUBMED	138268647534	253.117	38	567749741350681338	567749466665701834	1283
1	1	0.0867047601809739	0.0867047601809739	-185.78924076966618	nul	38.139	C9H16N2O2	[M + H]+	C9H17N2O2+	FCFWEOGTZZPCTO	InChI=1S/C9H16N2O2/c1-6(2)8-9(13-4)10-5-7(11-8)12-3/h6,8H,5H2,1-4H3	3,6-Dimethoxy-2-(propan-2-yl)-2,5-dihydropyrazine	CC(C)C1C(=NCC(=N1)OC)OC	1.400	154056366;101678281;59125824;736066;736065;3800909;91466540;11708187	MESH:(3800909);PUBCHEM:(154056366 101678281 59125824 736066 736065 3800909 91466540 11708187);DSSTox:(DTXSID30999695 DTXSID50352920 DTXSID70396609);PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBMED	137506062406	185.129	42	567749737663887991	567749466703450574	1287
1	1	0.8464263883104621	0.8464263883104621	-243.35874717373378	nul	43.714	C14H20N2O4S	[M + H]+	C14H21N2O4S+	KYPMKDGKAYQCHO	InChI=1S/C14H20N2O4S/c1-21-7-6-12(14(19)20)16-13(18)11(15)8-9-2-4-10(17)5-3-9/h2-5,11-12,17H,6-8,15H2,1H3,(H,16,18)(H,19,20)	Tyr-Met	CSCCC(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N	0.551	70555597;104904941;104904952;104904953;104909234;104909310;61159001;18218252;46937960	COCONUT:(CNP0382467);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029111);BloodExposome:(18218252);CHEBI:(134468);SUPERNATURAL:(SN0198925);PUBCHEM:(70555597 104904941 104904952 104904953 104909234 104909310 61159001 18218252 46937960);FooDB:(FDB112114);LOTUS:(Q106026383);TRAIN;PUBMED	9419374698	313.121	42	567749750515235794	567749466741199314	1295
1	1	0.31463342152540924	0.40844490274835593	-164.14435446352658	nul	72.701	C17H32N6O6	[M + H]+	C17H33N6O6+	OHYQKYUTLIPFOX	InChI=1S/C17H32N6O6/c1-3-9(2)13(16(28)29)23-15(27)11(6-7-12(24)25)22-14(26)10(18)5-4-8-21-17(19)20/h9-11,13H,3-8,18H2,1-2H3,(H,22,26)(H,23,27)(H,24,25)(H,28,29)(H4,19,20,21)	H-DL-Arg-DL-Glu-DL-xiIle-OH	CCC(C)C(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCCN=C(N)N)N	-1.428	145453811;18218699	PUBCHEM:(145453811 18218699);CHEBI:(158938)	34	417.245	41	567749739723291326	567749466787336662	1297
1	1	0.9722624684105434	0.9794072212305622	-101.2240776901685	nul	82.705	C14H18N2O6	[M + H]+	C14H19N2O6+	YSWHPLCDIMUKFE	InChI=1S/C14H18N2O6/c15-10(5-6-12(18)19)13(20)16-11(14(21)22)7-8-1-3-9(17)4-2-8/h1-4,10-11,17H,5-7,15H2,(H,16,20)(H,18,19)(H,21,22)	4-amino-4-{[1-carboxy-2-(4-hydroxyphenyl)ethyl]carbamoyl}butanoic acid	C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCC(=O)O)N)O	-0.393	6993106;6427016;515717;36689011;36689013;351830	COCONUT:(CNP0163879);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028831);BloodExposome:(515717 351830);CHEBI:(73513 176475);SUPERNATURAL:(SN0459374);PUBCHEM:(6993106 6427016 515717 36689011 36689013 351830);FooDB:(FDB005571);GNPS:(CCMSLIB00003136114);LOTUS:(Q27140594);DSSTox:(DTXSID90326069);TRAIN	138268405802	311.123	36	567749720840534221	567749466837668314	1305
1	1	0.09348384926434869	0.09348384926434869	-499.20585077554773	nul	43.859	C20H28N2O9	[M + H]+	C20H29N2O9+	HSCSQUWLXJOBSH	InChI=1S/C20H28N2O9/c1-10(2)22-8-13(9-29-12-5-3-11(4-6-12)7-14(21)23)30-20-17(26)15(24)16(25)18(31-20)19(27)28/h3-6,10,13,16-18,20,22,25-26H,7-9H2,1-2H3,(H2,21,23)(H,27,28)	6-[1-[4-(2-Amino-2-oxoethyl)phenoxy]-3-(propan-2-ylamino)propan-2-yl]oxy-3,5-dihydroxy-4-oxooxane-2-carboxylic acid	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)OC2C(C(=O)C(C(O2)C(=O)O)O)O	-2.700	139595294	NORMAN:(NS00000770);PUBCHEM:(139595294)	262146	441.187	42	567749738485971614	567749466883805662	1310
1	1	0.43064531531217937	0.43064531531217937	-68.6367832236918	nul	109.718	C16H32N6O5	[M + H]+	C16H33N6O5+	WPAKPLPGQNUXGN	InChI=1S/C16H32N6O5/c1-4-8(2)12(22-13(24)11(17)9(3)23)14(25)21-10(15(26)27)6-5-7-20-16(18)19/h8-12,23H,4-7,17H2,1-3H3,(H,21,25)(H,22,24)(H,26,27)(H4,18,19,20)	Threonylisoleucylarginine	CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C(C)O)N	-1.518	145458092;18224347	SUPERNATURAL:(SN0416148);PUBCHEM:(145458092 18224347);CHEBI:(163969)	1048610	389.250	42	567749781653749010	567749466925748706	1312
